|core|time|
|1|326.665767|
|2|164.169318|
|3|113.965246|
|4|86.920206|
|5|70.279026|
|6|59.254347|
|7|51.093826|
|8|44.854723|
|9|40.208035|
|10|36.108512|
|11|32.717613|
|12|30.579057|
|13|27.794283|
|14|26.497572|
|15|24.622945|
|16|22.982490|
|17|21.689586|
|18|21.331976|
|19|20.688364|
|20|19.670224|
|21|18.881329|
|22|17.390949|
|23|16.732465|
|24|16.754731|
|25|15.961523|
|26|15.426956|
|27|14.813031|
|28|14.524240|
|29|13.881426|
|30|13.193845|
|31|13.060274|
|32|12.370368|
|33|12.273462|
|34|11.971311|
|35|11.704937|
|36|11.718695|
|37|10.797534|
|38|10.698777|
|39|9.955653|
|40|10.143973|
