|core|width|time|
|1|51840.0000000000|143.89171660000002|
|2|103680.0000000000|145.136221|
|3|155520.0000000000|151.0717924|
|4|207360.0000000000|153.88049140000004|
|5|259200.0000000000|156.2823856|
|6|311040.0000000000|156.5163604|
|7|362880.0000000000|157.522373|
|8|414720.0000000000|158.61187160000003|
|9|466560.0000000000|158.6611674|
|10|518400.0000000000|158.212919|
|11|570240.0000000000|160.1229384|
|12|622080.0000000000|161.22074400000002|
|13|673920.0000000000|161.72446739999998|
|14|725760.0000000000|160.6484696|
|15|777600.0000000000|159.4925784|
|16|829440.0000000000|161.40845459999997|
|17|881280.0000000000|162.4699258|
|18|933120.0000000000|163.68593619999996|
|19|984960.0000000000|165.5513014|
|20|1036800.0000000000|164.4843614|
|21|1088640.0000000000|164.30554260000002|
|22|1140480.0000000000|165.20125620000002|
|23|1192320.0000000000|166.0005174|
|24|1244160.0000000000|162.8857612|
|25|1296000.0000000000|166.3038278|
|26|1347840.0000000000|165.6990814|
|27|1399680.0000000000|164.29834739999998|
|28|1451520.0000000000|168.4500098|
|29|1503360.0000000000|165.5359392|
|30|1555200.0000000000|169.6250498|
|31|1607040.0000000000|167.2853766|
|32|1658880.0000000000|171.29777199999998|
|33|1710720.0000000000|167.8727242|
|34|1762560.0000000000|172.29627480000002|
|35|1814400.0000000000|169.1538248|
|36|1866240.0000000000|174.88666600000002|
|37|1918080.0000000000|177.12082059999997|
|38|1969920.0000000000|174.574948|
|39|2021760.0000000000|179.1523316|
